observation_date,MKTGDPPHA646NWDB
1960-01-01,7515894110.56487
1961-01-01,8171194424.94498
1962-01-01,4954593071.82796
1963-01-01,5505023238.40669
1964-01-01,5953756194.80988
1965-01-01,6517349771.93386
1966-01-01,7189017887.69231
1967-01-01,7724873935.12821
1968-01-01,8632749269.48718
1969-01-01,9571800652.56410
1970-01-01,7559115516.69532
1971-01-01,8375075629.83270
1972-01-01,9067815521.32620
1973-01-01,11412449735.30560
1974-01-01,15607882555.29160
1975-01-01,16875240683.50830
1976-01-01,19381055197.27940
1977-01-01,22283109803.35210
1978-01-01,25762224562.63160
1979-01-01,31218296292.12950
1980-01-01,36848080898.81120
1981-01-01,40499388869.12710
1982-01-01,42206011275.17570
1983-01-01,37759179894.52980
1984-01-01,35730185633.52330
1985-01-01,34961486348.23820
1986-01-01,33987207294.94320
1987-01-01,37791488666.07430
1988-01-01,43152128958.61160
1989-01-01,48513773720.67300
1990-01-01,50508286641.57460
1991-01-01,51784144942.72700
1992-01-01,60422328242.18030
1993-01-01,62036529147.18310
1994-01-01,73159336915.27180
1995-01-01,84644328727.48250
1996-01-01,94648084429.03410
1997-01-01,94106317565.08459
1998-01-01,74492416329.91420
1999-01-01,85640171045.12540
2000-01-01,83669788376.92130
2001-01-01,78921234457.54871
2002-01-01,84307345887.54300
2003-01-01,87039092974.22720
2004-01-01,95001999685.33141
2005-01-01,107419977318.16600
2006-01-01,127652926368.06900
2007-01-01,155980408673.40302
2008-01-01,181624626327.36099
2009-01-01,175974755881.37201
2010-01-01,208368893151.14401
2011-01-01,234216730291.32001
2012-01-01,261920540962.63000
2013-01-01,283902828588.71802
2014-01-01,297483555338.04401
2015-01-01,306445871242.32202
2016-01-01,318627003016.73102
2017-01-01,328480736802.76001
2018-01-01,346841896587.31299
2019-01-01,376823402239.13599
2020-01-01,361751145451.59698
2021-01-01,394087359848.10999
2022-01-01,404353369604.63104
2023-01-01,437055627244.42401
2024-01-01,461617509782.35504
